version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v2,T2+F0,external_position_filter,noG,24,CDHG,6,109.34514001157319,168.57332213081932,118.43552616516747
v2,T2+F1,external_position_filter,all8,24,ABEF,6,60.57561815387642,321.64651174590574,172.94008637932862
v2,T2+F1,external_position_filter,all8,24,ADHE,6,94.44915273750337,142.43238832085976,101.84449238938359
v2,T2+F1,external_position_filter,all8,24,BCGF,6,50.941560563908325,220.06431752795731,122.63391956410248
v2,T2+F1,external_position_filter,all8,24,CDHG,6,106.88111634263625,169.52497269872782,120.35999964828785
v2,T2+F1,external_position_filter,noG,24,ABEF,6,82.73633021542167,322.5845364203516,177.62877154412394
v2,T2+F1,external_position_filter,noG,24,ADHE,6,108.56073419037921,215.2438535858713,134.38288271833073
v2,T2+F1,external_position_filter,noG,24,BCGF,6,88.0001095420892,269.90439964347974,154.54884866417416
v2,T2+F1,external_position_filter,noG,24,CDHG,6,113.70038305537346,161.68313283857893,115.45018101792044
v2,T2+F2,external_position_filter,all8,24,ABEF,6,60.57561815387642,321.64651174590574,172.94008637932862
v2,T2+F2,external_position_filter,all8,24,ADHE,6,94.44915273750337,142.43238832085976,101.84449238938359
v2,T2+F2,external_position_filter,all8,24,BCGF,6,50.941560563908325,220.06431752795731,122.63391956410248
v2,T2+F2,external_position_filter,all8,24,CDHG,6,106.88111634263625,169.52497269872782,120.35999964828785
v2,T2+F2,external_position_filter,noG,24,ABEF,6,82.73633021542167,322.5845364203516,177.62888463441314
v2,T2+F2,external_position_filter,noG,24,ADHE,6,108.56073419037921,215.55538284543266,134.5063324066612
v2,T2+F2,external_position_filter,noG,24,BCGF,6,88.0001095420892,269.90439964347974,154.5465611660953
v2,T2+F2,external_position_filter,noG,24,CDHG,6,113.68834859429079,161.68313283857893,115.44625029816889
v2,T2+F3,external_position_filter,all8,24,ABEF,6,61.742361128921694,321.9305368503239,173.25605688402794
v2,T2+F3,external_position_filter,all8,24,ADHE,6,94.25960199998192,142.58768219498347,101.5618700210545
v2,T2+F3,external_position_filter,all8,24,BCGF,6,50.70353315610198,220.13238278885578,122.65260775273843
v2,T2+F3,external_position_filter,all8,24,CDHG,6,106.8467615407526,169.46103236987133,120.45060994891612
v2,T2+F3,external_position_filter,noG,24,ABEF,6,83.20690783711248,323.0532585206146,178.00169325379912
v2,T2+F3,external_position_filter,noG,24,ADHE,6,108.76997903787193,216.32166194664444,134.94749928459214
v2,T2+F3,external_position_filter,noG,24,BCGF,6,87.11293944615664,270.6050152604373,154.6997570019594
v2,T2+F3,external_position_filter,noG,24,CDHG,6,113.97528036819412,162.8144527497212,116.38233444696696
v2,T2+F4,external_position_filter,all8,24,ABEF,6,60.04422694996886,321.40611439053623,172.7306299527505
v2,T2+F4,external_position_filter,all8,24,ADHE,6,94.67414931881746,142.66944498978484,102.3841459424626
v2,T2+F4,external_position_filter,all8,24,BCGF,6,50.806346094030914,220.22771145772901,122.75094531371327
v2,T2+F4,external_position_filter,all8,24,CDHG,6,107.66542550252439,165.34262209508998,119.14954307851889
v2,T2+F4,external_position_filter,noG,24,ABEF,6,81.90944818227811,322.1750731422326,177.26495753602336
v2,T2+F4,external_position_filter,noG,24,ADHE,6,108.87154042031197,218.34061258405217,135.69183159984289
v2,T2+F4,external_position_filter,noG,24,BCGF,6,88.23247888761406,270.79598757119965,154.93363635993742
v2,T2+F4,external_position_filter,noG,24,CDHG,6,113.20225171771543,161.40862271021854,115.16131646251071
v2,T2+F5,external_position_filter,all8,24,ABEF,6,59.88387511339391,320.6836939747269,172.28034439225777
v2,T2+F5,external_position_filter,all8,24,ADHE,6,94.75120410757752,142.3685511814317,102.23008323302601
v2,T2+F5,external_position_filter,all8,24,BCGF,6,50.577384266113775,219.66305326044596,122.42094093470564
v2,T2+F5,external_position_filter,all8,24,CDHG,6,106.83150940662743,164.67902083507147,118.8201397151878
v2,T2+F5,external_position_filter,noG,24,ABEF,6,81.27549175712639,322.0637953179133,177.0407484140354
v2,T2+F5,external_position_filter,noG,24,ADHE,6,109.29548371995787,215.43286832451327,134.58109493322343
v2,T2+F5,external_position_filter,noG,24,BCGF,6,88.39736059333188,270.4273853401402,154.76487534601284
v2,T2+F5,external_position_filter,noG,24,CDHG,6,113.59719320738421,161.52375422016263,115.14467945107954
v2,T3+F0,external_position_filter,all8,24,ABEF,6,71.2664229537187,128.11667641828225,83.25774205374954
v2,T3+F0,external_position_filter,all8,24,ADHE,6,58.42143688703227,141.55095467618514,85.03331556847834
v2,T3+F0,external_position_filter,all8,24,BCGF,6,47.458608977935164,206.88522876542956,112.66685356772065
v2,T3+F0,external_position_filter,all8,24,CDHG,6,100.13919534327229,180.0310275174252,116.28152083310563
v2,T3+F0,external_position_filter,noG,24,ABEF,6,89.09917206436032,127.58349861529159,90.87972043677816
v2,T3+F0,external_position_filter,noG,24,ADHE,6,105.75377893253176,238.2429476421921,143.78269968914466
v2,T3+F0,external_position_filter,noG,24,BCGF,6,69.1163703028757,280.53373441543107,155.55048593888532
v2,T3+F0,external_position_filter,noG,24,CDHG,6,99.39878905674858,179.60810538794934,125.87539774864962
v2,T3+F1,external_position_filter,all8,24,ABEF,6,65.32530283819814,126.8348138254776,80.55997242025771
v2,T3+F1,external_position_filter,all8,24,ADHE,6,58.380430285966085,138.05509666186506,83.43361267971179
v2,T3+F1,external_position_filter,all8,24,BCGF,6,47.09169955934023,206.20279529632776,112.24780338522564
v2,T3+F1,external_position_filter,all8,24,CDHG,6,95.88062348227874,174.13214413426684,112.65970163938894
v2,T3+F1,external_position_filter,noG,24,ABEF,6,80.86711893334476,126.06058744328634,87.15026425164646
v2,T3+F1,external_position_filter,noG,24,ADHE,6,104.7954177015929,234.2177939844891,141.73792956468404
v2,T3+F1,external_position_filter,noG,24,BCGF,6,70.6932476999648,274.0687049839936,152.70775176642118
v2,T3+F1,external_position_filter,noG,24,CDHG,6,103.46138886630281,178.23203712210864,123.35341294231061
