L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,experiment_short
L0,A0,U4,P0,I0,T2,position_fusion,5,85.5954613041873,157.28462843762594,0.0,95.64898461038288,231.8021379954777,74.51750955785175,1.0,74.51750955785175,49.23537741780885,121.19093567339618,286.8467975711512,X_A0_U4_P0_L0_I0_T2
L1,A0,U4,P3,I3,T2,position_fusion,5,77.35052733786097,126.09801570669951,0.6331732148898596,82.2455358802892,200.2766290041533,74.1786132974538,1.0,105.70412228877817,39.71529408930268,112.5841938258784,325.09286325609827,X_A0_U4_P3_L1_I3_T2
L14,A0,U4,P0,I3,T2,position_fusion,5,87.74253149367883,157.9523549586688,5.860274982831054,97.16188553570099,231.8021379954777,73.84978303680889,1.0,73.84978303680889,46.86330567932324,130.17570275126977,296.7372433006846,X_A0_U4_P0_L14_I3_T2
L18,A0,U4,P0,I8,T2,position_fusion,5,88.78862860755899,157.98474156002789,3.4043756954876234,98.75173343758992,231.8021379954777,73.81739643544981,1.0,73.81739643544981,47.00604123327875,131.7517297575091,276.2776843304573,X_A0_U4_P0_L18_I8_T2
L0,A0,U4,P2,I8,T2,position_fusion,5,77.42085813728885,118.22197811103248,0.0,81.69733764582006,191.34655064695076,73.12457253591828,1.0,113.58015988444522,21.21212511461408,103.76241993658441,356.8296251794529,X_A0_U4_P2_L0_I8_T2
L0,A0,U4,P1,I5,T2,position_fusion,5,70.33795913728977,106.68621690419552,0.0,72.80796127941392,179.58127537090328,72.89505846670777,1.0,125.11592109128216,27.86466650654225,100.1722320370364,401.600379319732,X_A0_U4_P1_L0_I5_T2
L13,A0,U4,P0,I6,T2,position_fusion,5,90.21454693234988,158.96686415219105,6.099891116381802,100.28711627975723,231.8021379954777,72.83527384328663,1.0,72.83527384328663,42.99707540831445,135.3011134542923,269.1518758756216,X_A0_U4_P0_L13_I6_T2
L1,A0,U4,P3,I4,T2,position_fusion,5,77.65028497755274,127.47539876478626,3.7502800778622323,84.02442535762297,200.2766290041533,72.80123023936703,1.0,104.32673923069142,38.63002070580608,111.89808989242015,290.2722935848051,X_A0_U4_P3_L1_I4_T2
L13,A0,U4,P0,I4,T2,position_fusion,5,89.29801462763999,159.0314898688517,7.818773062277578,100.22036375502651,231.8021379954777,72.77064812662597,1.0,72.77064812662597,45.77461931382278,131.9463650117775,237.6887573275023,X_A0_U4_P0_L13_I4_T2
L15,A0,U4,P0,I2,T2,position_fusion,5,89.97749378313368,159.13075192624575,3.8893953676748994,99.76765124200418,231.8021379954777,72.67138606923194,1.0,72.67138606923194,47.317672573546375,134.4383411035436,227.22950330109626,X_A0_U4_P0_L15_I2_T2
L13,A0,U4,P0,I3,T2,position_fusion,5,88.91353917744485,159.1748790283251,5.546110305189133,99.34060260948493,231.8021379954777,72.62725896715259,1.0,72.62725896715259,47.0492403462842,133.51143105457064,257.3012002462708,X_A0_U4_P0_L13_I3_T2
L16,A0,U4,P3,I5,T2,position_fusion,5,77.34371870242458,128.0209967613183,4.957879077353909,84.31080398917045,200.2766290041533,72.25563224283502,1.0,103.78114123415942,37.728605847640694,116.53380946217524,277.0820693086211,X_A0_U4_P3_L16_I5_T2
