alpha,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope
0.05,68.0,60.75696997817168,75.15187037661508,117.54895635102616,4.309042839875858
0.05,70.0,61.986150419598246,75.66248641236636,119.31715715105933,1.1846820712464472
0.05,72.0,63.23982979926477,76.25312651034498,121.01981727164598,-1.9191661022411488
0.05,74.0,64.51415533839965,76.91892884829807,122.65781610862147,-5.000253152614655
0.05,76.0,65.81957102981985,77.66147365580699,121.01872492617377,-8.057705416685579
0.05,78.0,67.1606014498712,78.48080357093905,119.02124402367734,-11.09640523917593
0.05,80.0,68.18095160165942,79.3750855553106,120.81343886585985,-14.119527494914777
0.05,82.0,68.74442579368241,80.34132338360159,123.16268827464428,-17.1284282874628
0.05,84.0,69.42979059715512,81.3772095419024,125.51163472877442,-20.12279760107205
0.05,86.0,70.23680041456197,82.47790016652567,127.86102055378707,-23.100204042143744
0.05,88.0,71.16276881477296,83.64009768030559,130.2052241482747,-26.06174177985873
0.05,90.0,72.23085922728123,84.86336407170899,132.631462880363,-29.009637904842844
0.05,92.0,73.45467290183007,86.14404666748658,135.10781269288825,-31.94653588854565
0.05,94.0,74.82403854949254,87.47861761620774,136.81363155194092,-34.87058873656387
0.05,96.0,76.68460848486555,88.86494965886183,138.06741164974514,-37.78510255054987
0.05,98.0,78.67085141674161,90.29922885772292,139.26681565202188,-40.688035947979905
0.05,100.0,80.7732586916668,91.77916793226626,140.42803152614826,-43.575815852310704
0.05,102.0,82.97287923912143,93.3010658235661,141.5527535933321,-46.45263068510445
0.05,104.0,85.26538809234222,94.86151549018122,142.6420930625357,-49.32283964019839
0.05,106.0,87.69019124340902,96.45552281879712,143.69461581850416,-52.184678968416755
0.05,108.0,90.19145208181351,98.0787571061973,144.71654028479938,-55.03896330679114
0.05,110.0,91.93047707194549,99.72942499303407,145.73303038808396,-57.88673690182542
0.05,112.0,93.7698690291883,101.4075611542325,147.33537087122926,-60.728540923232885
0.05,114.0,96.32307786515369,103.1076566744288,149.33217088307563,-63.56197874745302
0.05,116.0,98.3504774593413,104.82589893169478,151.57578097005643,-66.3819539272503
0.05,118.0,100.04940889324877,106.56437206891535,153.82814335349178,-69.18668446693705
0.05,120.0,101.7530664560407,108.32208929111852,156.04252520486986,-71.97970089523528
0.05,122.0,103.43168981295112,110.09660558977804,158.8132522734855,-74.75568588287048
0.05,124.0,105.27833120159184,111.8875205845065,161.62363554541,-77.51769906527484
0.05,126.0,107.4399223494499,113.69296874993589,164.42553006271208,-80.26721390909515
0.05,128.0,109.65943442879669,115.50885717090014,167.2155511689435,-83.00204675504942
0.05,130.0,111.93795260808585,117.33487205853685,169.99514701688352,-85.72358507993661
0.05,132.0,114.26697840518662,119.16772162704257,172.76630313497367,-88.43030079794976
0.05,134.0,116.6439175887482,121.00891183999805,175.0142636192258,-91.1208889315382
0.05,136.0,119.06519527369801,122.85788952352836,176.292572192722,-93.79434903464993
0.05,138.0,121.52852804116911,124.71427948529741,177.53984613464976,-96.45325627490477
0.05,140.0,124.027320290317,126.57691336960838,178.76599542381928,-99.09833548181372
0.1,0.0,74.82207144864816,112.92593592619447,178.67685970922057,136.65934595288826
0.1,2.0,73.58405514100536,110.48417990138869,173.96280220660418,132.03981987400212
0.1,4.0,72.40400887380338,108.09347446245727,169.359801379225,127.46439476747759
0.1,6.0,71.29450476058798,105.75669654914147,164.8704626773892,122.93589865712018
0.1,8.0,70.26410662075548,103.47525005293409,160.4733033621425,118.45029730158693
0.1,10.0,70.57583790333442,101.25223840493767,156.17280280354225,114.00841879833966
0.1,12.0,71.0334771393457,99.09105502406815,152.0412915242612,109.61098684302571
0.1,14.0,71.48541915744963,96.99879012102618,149.2996440375513,105.2632825087318
0.1,16.0,71.92531066474908,94.97881261685994,146.621572929515,100.969091568159
0.1,18.0,71.53689285887081,93.03577277888293,144.0060474537488,96.7242073500958
0.1,20.0,69.96758674401875,91.17554751809355,141.45305395215988,92.5299576901616
0.1,22.0,68.44739069749903,89.39869112393787,138.96724398814982,88.38679251418866
0.1,24.0,67.11631472151203,87.7086481200509,136.54766254484923,84.29697943151524
0.1,26.0,67.51329261250841,86.10755747308005,134.19004400310155,80.2573784342907
0.1,28.0,67.77897459622278,84.59806851480693,131.9059735470823,76.27032321330842
0.1,30.0,67.35539109231979,83.18316903609767,129.68844502955693,72.3370018526974
0.1,32.0,66.35888671108322,81.86424257292236,127.79793786644875,68.45449868574144
0.1,34.0,65.18605692109162,80.6457014216762,126.00708361425968,64.62312242066803
0.1,36.0,63.85543247594058,79.52754620120108,124.27725502423938,60.84128886692254
0.1,38.0,62.743729950857556,78.51016627935014,122.60300411476874,57.111580582651705
0.1,40.0,63.12728351392482,77.58891805335571,120.97271258810702,53.430352939775055
0.1,42.0,62.48595050884314,76.76364488477904,119.392083566421,49.79489685775321
0.1,44.0,62.29277733263942,76.03859816982556,117.86322167489202,46.20633822152278
0.1,46.0,60.55996393370064,75.4125122353889,116.38521114216958,42.66310973138359
0.1,48.0,58.770365414266855,74.88697922230809,114.95560546185702,39.161823653374036
0.1,50.0,56.92675452440449,74.4571849427066,113.69104869844013,35.700416135167906
0.1,52.0,57.166947425298154,74.1253570756382,113.44115862005337,32.2779070153774
