version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v3-lite,T4+F3,external_position_filter,all8,24,BCGF,6,59.310329430551405,212.18577175883786,117.69020208382229
v3-lite,T4+F3,external_position_filter,all8,24,CDHG,6,85.6935240018959,172.40179018296115,114.07025360480525
v3-lite,T4+F4,external_position_filter,all8,24,ABEF,6,71.1703022901053,154.4614382524023,100.50517865018722
v3-lite,T4+F4,external_position_filter,all8,24,ADHE,6,75.58942380580702,123.36678888067988,85.18454882700381
v3-lite,T4+F4,external_position_filter,all8,24,BCGF,6,59.71116168330013,211.5953536791674,117.49842038826823
v3-lite,T4+F4,external_position_filter,all8,24,CDHG,6,85.43405539867786,169.96204951060338,112.7136423890076
v3-lite,T4+F5,external_position_filter,all8,24,ABEF,6,69.9358413327515,154.14089970662397,100.28171479042753
v3-lite,T4+F5,external_position_filter,all8,24,ADHE,6,74.9301672955994,123.176448627684,84.80066831630278
v3-lite,T4+F5,external_position_filter,all8,24,BCGF,6,59.89784607732446,211.38832171117215,117.42322350423328
v3-lite,T4+F5,external_position_filter,all8,24,CDHG,6,84.51886178537484,170.16866082262132,112.67523063152636
v3-lite,T5a,native_range_filter,all8,24,ABEF,6,88.03974563060179,230.3770489566444,138.0567587019318
v3-lite,T5a,native_range_filter,all8,24,ADHE,6,121.13928579266474,207.2501075405947,134.5344234988478
v3-lite,T5a,native_range_filter,all8,24,BCGF,6,128.55258302908905,223.47404754447527,145.37637041372008
v3-lite,T5a,native_range_filter,all8,24,CDHG,6,139.28814136789362,248.73990552759136,161.48215726052084
v3-lite,T5b,native_range_filter,all8,24,ABEF,6,74.56276477260656,297.9286219302771,163.7436742159698
v3-lite,T5b,native_range_filter,all8,24,ADHE,6,71.47109394505189,125.31492779476257,82.26040003405467
v3-lite,T5b,native_range_filter,all8,24,BCGF,6,57.305698804096984,205.35640710476832,114.32674935017886
v3-lite,T5b,native_range_filter,all8,24,CDHG,6,75.88073698915686,180.39871520807228,107.66068245528079
v3-lite,T5c,native_range_filter,all8,24,ABEF,6,74.56276477260656,297.9286219302771,163.7436742159698
v3-lite,T5c,native_range_filter,all8,24,ADHE,6,71.47109394505189,125.31492779476257,82.26040003405467
v3-lite,T5c,native_range_filter,all8,24,BCGF,6,57.305698804096984,205.35640710476832,114.32674935017886
v3-lite,T5c,native_range_filter,all8,24,CDHG,6,75.88073698915686,180.39871520807228,107.66068245528079
v3-lite,T5d,native_range_filter,all8,24,ABEF,6,87.76066910937674,230.05267919498155,137.84670606858018
v3-lite,T5d,native_range_filter,all8,24,ADHE,6,120.80588836849896,206.85904296268436,134.25574037017262
v3-lite,T5d,native_range_filter,all8,24,BCGF,6,128.1713723352977,223.12670591974495,145.1150194401969
v3-lite,T5d,native_range_filter,all8,24,CDHG,6,139.0963568967582,248.4489185695167,161.26204769144528
v3-lite,T5e,native_range_filter,all8,24,ABEF,6,83.54832068906384,183.5060432754145,114.51299468678593
v3-lite,T5e,native_range_filter,all8,24,ADHE,6,56.22652109739985,163.81991732336718,96.11828152846698
v3-lite,T5e,native_range_filter,all8,24,BCGF,6,80.11765251842463,167.146286160815,103.53210607244065
v3-lite,T5e,native_range_filter,all8,24,CDHG,6,92.53964998943472,320.7988626881508,183.8820142827811
