mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
dropBE,ABEF,mid,2,1.1480690836906433,1.1845337688922881,1.4742190837860107,115.40944847510812,93.6684707188454
dropBE,ADHE,high,2,0.9037482142448425,0.9583346545696259,1.314126968383789,104.66248926254788,91.96502914238135
dropBE,ADHE,low,2,0.9091219305992126,0.9471898794174194,1.3303275108337402,137.55633401300634,91.09075770191507
dropBE,ADHE,mid,2,1.0430969297885895,1.1031194835901261,1.391968309879303,77.7054933473849,90.7993338884263
dropBE,BCGF,high,2,0.9619370698928833,0.9802001774311065,1.3555023670196533,109.62870113291399,92.75603663613657
dropBE,BCGF,low,2,0.875930666923523,0.9544077575206756,1.319387674331665,91.98003244102073,93.37461345459269
dropBE,BCGF,mid,2,1.0872355103492737,1.106649285554886,1.4277056455612183,82.58665185358097,91.7116985845129
dropBE,CDHG,high,2,0.927665114402771,0.9301974415779114,1.3488604426383972,115.29532142575104,93.58867610324731
dropBE,CDHG,low,2,0.8423447906970978,0.8713396042585373,1.3174283504486084,179.82700603813663,90.3413821815154
dropBE,CDHG,mid,2,1.0541803240776062,1.1027243912220002,1.4236403107643127,120.72604325592548,92.9225645295587
dropBF,ABEF,high,2,0.9882495701313019,0.9942845135927201,1.4479931592941284,106.63362100495875,91.7985012489592
dropBF,ABEF,low,2,0.9517722427845001,0.962201663851738,1.4154831171035767,113.40754186680162,92.12530703146321
dropBF,ABEF,mid,2,1.0857872366905212,1.100769144296646,1.4347933530807495,115.40944847510812,93.6684707188454
dropBF,ADHE,high,2,0.9115806221961975,0.9750267207622528,1.3510902523994446,104.66248926254788,91.96502914238135
dropBF,ADHE,low,2,0.8606736660003662,0.8990533947944641,1.3441722989082336,137.55633401300634,91.09075770191507
dropBF,ADHE,mid,2,0.9963007271289825,1.0648999124765397,1.3872464895248413,77.7054933473849,90.7993338884263
dropBF,BCGF,high,2,1.0200528502464294,1.0436744749546052,1.4673895239830017,109.62870113291399,92.75603663613657
dropBF,BCGF,low,2,1.02744060754776,1.0641834914684296,1.5080862045288086,91.98003244102073,93.37461345459269
dropBF,BCGF,mid,2,1.0805602669715881,1.0879312455654144,1.4388460516929626,82.58665185358097,91.7116985845129
dropBF,CDHG,high,2,0.9387944042682648,0.9527553826570511,1.4216080904006958,115.29532142575104,93.58867610324731
dropBF,CDHG,low,2,0.9186896979808807,0.9647428780794144,1.4534887671470642,179.82700603813663,90.3413821815154
dropBF,CDHG,mid,2,1.0298071801662445,1.0632369726896287,1.443965196609497,120.72604325592548,92.9225645295587
dropBG,ABEF,high,2,0.9267991185188293,0.9607577085494995,1.3575364351272583,106.63362100495875,91.7985012489592
dropBG,ABEF,low,2,0.8599211275577545,0.886777737736702,1.2912808656692505,113.40754186680162,92.12530703146321
dropBG,ABEF,mid,2,1.1257610321044922,1.127198588848114,1.4746347665786743,115.40944847510812,93.6684707188454
dropBG,ADHE,high,2,0.9028913378715515,0.958950686454773,1.3136321902275085,104.66248926254788,91.96502914238135
dropBG,ADHE,low,2,0.8470209538936615,0.8674012094736099,1.2865263223648071,137.55633401300634,91.09075770191507
dropBG,ADHE,mid,2,1.0265035033226013,1.117750483751297,1.3923501372337341,77.7054933473849,90.7993338884263
dropBG,BCGF,high,2,0.9637812376022339,0.9826588928699493,1.3707429766654968,109.62870113291399,92.75603663613657
dropBG,BCGF,low,2,0.8752296268939972,0.8882103651762009,1.3178906440734863,91.98003244102073,93.37461345459269
