tag_delay_mm,n_static_cases,n_residuals,raw_rms,raw_p50_abs,raw_p95_abs,norm_rms,case_rms_median,case_rms_p95,status
90.0,23,184,102.59609658175917,47.78959465074604,199.00665356924682,3.9216511632243654,96.05136995380956,157.79494338442564,ok
91.0,23,184,103.35594176478608,47.52264436600649,200.20928105417468,3.950635131055792,96.81139539320696,158.84160302762072,ok
92.0,23,184,104.12175680120178,48.029193832762076,201.41248186191206,3.9798162829188937,97.57345830220046,159.8921844617915,ok
93.0,23,184,104.89383719044778,48.53701192345943,203.0652217395271,4.009202101681459,98.33754095666298,160.94662641081436,ok
94.0,23,184,105.67320438399288,49.03722990986455,205.07353904209242,4.0388261638577125,99.10362618309378,162.00486861387867,ok
95.0,23,184,106.46017963619947,49.53439173673121,207.1526754652857,4.068680940091734,99.87169734334304,163.0668519239494,ok
96.0,23,184,107.25389074552238,50.036149243317595,209.27777211703813,4.0987393405839825,100.64173831953656,164.13251812221336,ok
97.0,23,184,108.05261851801146,51.52996542330811,211.401540217703,4.128975993206947,101.41373349923147,165.20180997795157,ok
98.0,23,184,108.85455182880145,52.72416853415041,213.5250221216929,4.159324206858928,102.1876677608435,166.27467123739078,ok
99.0,23,184,109.65791385912152,53.864145027213,215.64819567480214,4.189707706898302,102.96352645936157,167.35104661233362,ok
100.0,23,184,110.4647430268957,54.744687707216826,216.7489342130749,4.220214538123889,103.74129541237647,168.43088176859112,ok
101.0,23,184,111.27614246538181,54.57025153108884,217.07734556971914,4.2508876326082765,104.52096088643054,169.5140935553493,ok
102.0,23,184,112.092083770952,54.39346570773728,217.74434700327163,4.281725359015719,105.30250958370384,170.51993082624668,ok
103.0,23,184,112.91246163855602,54.21682475309808,219.3083751246545,4.3127241124514555,106.08592862904112,171.08366808753738,ok
104.0,23,184,113.73731510747953,54.094857481146846,220.87394833104375,4.343882442102594,106.8712055573257,171.65593019712972,ok
105.0,23,184,114.56639688826249,54.75709428898517,222.44102410591216,4.375191671959497,107.65832830119754,172.23601553506103,ok
106.0,23,184,115.39963376042968,55.413592221668296,224.07629144381352,4.406651966121819,108.44678225599755,172.823455818187,ok
107.0,23,184,116.2347073812523,55.97873375074505,225.9709793641674,4.438179297702578,109.23661197619057,173.55021256810323,ok
