L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L2,A0,U4,P0,I6,T2,position_fusion,5,96.728727708153,174.42132724683842,4.455258673613224,108.9600648523211,132.6684913803952,133.7458890417899,231.8021379954777,57.38081074863926,1.0,57.38081074863926,47.06205824720971,143.21059258774736,174.95358686259058,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I6_T2,463,40
L20,A0,U4,P3,I5,T5,position_fusion,5,90.13003502636643,174.5401668559401,0.45355448318235264,103.6279190547763,134.27017044887106,129.4783458987397,200.2766290041533,25.736462148213214,1.0,57.26197113953761,51.21790414604792,143.2276115665909,193.28740286176776,L20 Xsens MTi-3,X_A0_U4_P3_L20_I5_T5,464,209
L2,A0,U4,P1,I7,T5,position_fusion,5,89.47685761913432,174.54636976310508,1.835862984468697,105.9950246577065,134.21105586282368,126.68498197906247,179.58127537090328,5.034905607798214,1.0,57.255768232372624,51.73737034946407,133.75090291682395,247.97934552366314,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I7_T5,465,505
L16,A0,U4,P3,I5,T5,position_fusion,5,90.5789392973328,174.7544515357247,0.8391593156266196,104.15180946201528,134.55889705353366,129.35368254351576,200.2766290041533,25.522177468428605,1.0,57.047686459752995,51.285309506016596,143.65859923553006,190.43562312412774,L16 ICM-45686,X_A0_U4_P3_L16_I5_T5,466,210
L20,A0,U4,P0,I6,T4,position_fusion,5,88.6525585128506,174.7772756257196,0.6848009611492507,106.15128949207796,129.6089046376663,137.3395669945719,231.8021379954777,57.024862369758104,1.0,57.024862369758104,53.17816772617048,141.96381566802967,240.3969399005942,L20 Xsens MTi-3,X_A0_U4_P0_L20_I6_T4,467,41
L2,A0,U4,P2,I6,T3,position_fusion,5,94.60098223801646,174.98029928567013,1.6428755279018838,107.31117564278256,132.36065001810007,130.13674376070097,191.34655064695076,16.36625136128064,1.0,56.82183870980757,48.79466459729636,139.06669322419899,217.87440312705002,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I6_T3,468,328
L20,A0,U4,P2,I1,T3,position_fusion,5,93.47522537830886,175.10569654674063,0.9862474327009849,105.25557995265187,132.33810539473347,129.24595262804502,191.34655064695076,16.24085410021012,1.0,56.69644144873705,48.66872286692863,137.55532641240927,222.6804988899731,L20 Xsens MTi-3,X_A0_U4_P2_L20_I1_T3,469,332
L2,A0,U4,P1,I1,T5,position_fusion,5,89.62403572201353,175.15207087813917,0.6475026883245459,106.06790149572824,134.64465081047715,127.33719506511565,179.58127537090328,4.429204492764114,1.0,56.650067117338516,51.78701219295154,133.96204786557558,245.0908153773612,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I1_T5,470,518
L2,A0,U4,P2,I3,T4,position_fusion,5,94.23130830063508,175.29242854061982,1.1928525789015603,107.56461570130027,134.61138270924874,132.26342146776054,191.34655064695076,16.054122106330926,1.0,56.509709454857855,49.006131816455536,139.36381913350823,221.01822266583446,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I3_T4,471,335
L2,A0,U4,P2,I8,T3,position_fusion,5,94.51136113906549,175.40513322033675,0.4845785107648426,108.03927867130503,135.44427836403793,129.2347584440002,191.34655064695076,15.941417426613992,1.0,56.39700477514093,49.078898750071865,139.5583888588229,213.73105464961273,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I8_T3,472,340
L2,A0,U4,P1,I0,T4,position_fusion,5,90.55976831722253,175.55311536794977,2.2310185507095683,105.69225127777392,135.1188596620591,127.02462230797603,179.58127537090328,4.028160002953518,1.0,56.24902262752793,51.88810481167644,134.34884365418134,239.10641665661836,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I0_T4,473,532
