sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T12:49:19.187661+00:00,1,25.0,458.0,11264.0,53.0,79.23
2026-06-05T12:49:34.233605+00:00,0,0.0,374.0,11264.0,55.0,81.14
2026-06-05T12:49:34.233629+00:00,1,0.0,234.0,11264.0,54.0,75.7
2026-06-05T12:49:49.267359+00:00,0,0.0,374.0,11264.0,56.0,81.24
2026-06-05T12:49:49.267380+00:00,1,0.0,234.0,11264.0,54.0,75.51
2026-06-05T12:50:04.301579+00:00,0,0.0,822.0,11264.0,56.0,81.73
2026-06-05T12:50:04.301603+00:00,1,0.0,10.0,11264.0,53.0,53.01
2026-06-05T12:50:19.333225+00:00,0,0.0,822.0,11264.0,53.0,61.9
2026-06-05T12:50:19.333247+00:00,1,0.0,458.0,11264.0,54.0,75.14
2026-06-05T12:50:34.365182+00:00,0,16.0,822.0,11264.0,50.0,61.05
2026-06-05T12:50:34.365202+00:00,1,0.0,682.0,11264.0,55.0,75.23
2026-06-05T12:50:49.395692+00:00,0,99.0,598.0,11264.0,54.0,95.88
2026-06-05T12:50:49.395713+00:00,1,0.0,906.0,11264.0,55.0,75.31
2026-06-05T12:51:04.431514+00:00,0,0.0,374.0,11264.0,55.0,81.04
2026-06-05T12:51:04.431536+00:00,1,0.0,234.0,11264.0,55.0,75.12
2026-06-05T12:51:19.461864+00:00,0,0.0,598.0,11264.0,56.0,81.52
2026-06-05T12:51:19.461883+00:00,1,0.0,234.0,11264.0,55.0,75.12
2026-06-05T12:51:34.492698+00:00,0,100.0,1046.0,11264.0,55.0,97.88
2026-06-05T12:51:34.492720+00:00,1,0.0,10.0,11264.0,56.0,79.24
2026-06-05T12:51:49.527563+00:00,0,0.0,822.0,11264.0,56.0,81.63
2026-06-05T12:51:49.527586+00:00,1,0.0,682.0,11264.0,54.0,58.77
2026-06-05T12:52:04.568785+00:00,0,3.0,822.0,11264.0,56.0,81.54
2026-06-05T12:52:04.568810+00:00,1,0.0,682.0,11264.0,53.0,58.68
2026-06-05T12:52:19.599869+00:00,0,0.0,374.0,11264.0,55.0,61.91
