host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
42.599958,59677,,BS2DCE,,2,ok,3083,3083,100,207,0
42.599958,59677,,BS2DCE,,5,ok,2512,2512,100,207,0
42.809265,59678,,BS2DCE,,0,ok,2745,2745,100,208,0
42.809265,59678,,BS2DCE,,2,ok,3094,3094,100,208,0
42.959264,59679,,BS2DCE,,0,ok,2519,2519,100,209,0
43.011955,59679,,BS2DCE,,2,ok,3058,3058,100,209,0
43.011955,59679,,BS2DCE,,5,ok,2645,2645,100,209,0
43.011955,59679,,BS2DCE,,7,ok,2915,2915,100,208,1
43.221943,59680,,BS2DCE,,0,ok,2558,2558,100,210,0
43.221943,59680,,BS2DCE,,2,ok,3041,3041,100,210,0
43.221943,59680,,BS2DCE,,7,ok,2853,2853,100,209,1
43.401761,59681,,BS2DCE,,0,ok,2677,2677,100,211,0
43.401761,59681,,BS2DCE,,2,ok,2951,2951,100,211,0
43.604317,59682,,BS2DCE,,0,ok,2815,2815,100,212,0
43.606717,59682,,BS2DCE,,2,ok,2909,2909,100,212,0
43.606717,59682,,BS2DCE,,5,ok,2757,2757,100,212,0
43.606717,59682,,BS2DCE,,7,ok,2758,2758,100,211,1
43.80699,59683,,BS2DCE,,0,ok,2813,2813,100,213,0
43.80699,59683,,BS2DCE,,2,ok,2928,2928,100,213,0
43.80699,59683,,BS2DCE,,5,ok,2886,2886,100,213,0
44.016797,59684,,BS2DCE,,0,ok,2881,2881,100,214,0
44.016797,59684,,BS2DCE,,2,ok,2900,2900,100,214,0
44.219155,59685,,BS2DCE,,0,ok,2946,2946,100,215,0
44.221517,59685,,BS2DCE,,2,ok,2884,2884,100,215,0
44.221517,59685,,BS2DCE,,5,ok,3014,3014,100,215,0
44.221517,59685,,BS2DCE,,7,ok,2889,2889,100,214,1
44.399598,59686,,BS2DCE,,0,ok,3085,3085,100,216,0
44.399598,59686,,BS2DCE,,2,ok,2895,2895,100,216,0
44.399598,59686,,BS2DCE,,5,ok,2906,2906,100,216,0
44.556876,59687,,BS2DCE,,0,ok,3157,3157,100,217,0
44.556876,59687,,BS2DCE,,2,ok,2717,2717,100,217,0
44.811594,59688,,BS2DCE,,0,ok,3133,3133,100,218,0
44.814088,59688,,BS2DCE,,2,ok,2683,2683,100,218,0
44.814088,59688,,BS2DCE,,5,ok,2688,2688,100,218,0
44.814088,59688,,BS2DCE,,7,ok,3042,3042,100,217,1
45.021969,59689,,BS2DCE,,0,ok,3238,3238,100,219,0
45.021969,59689,,BS2DCE,,2,ok,2628,2628,100,219,0
45.021969,59689,,BS2DCE,,7,ok,3206,3206,100,218,1
45.202319,59690,,BS2DCE,,0,ok,3769,3769,100,220,0
45.202319,59690,,BS2DCE,,2,ok,2692,2692,100,220,0
45.404252,59691,,BS2DCE,,2,ok,2956,2956,100,221,0
45.407118,59691,,BS2DCE,,0,ok,3226,3226,100,221,0
45.407118,59691,,BS2DCE,,5,ok,2111,2111,100,221,0
45.407118,59691,,BS2DCE,,7,ok,3415,3415,100,220,1
45.607099,59692,,BS2DCE,,0,ok,3232,3232,100,222,0
45.607099,59692,,BS2DCE,,2,ok,2796,2796,100,222,0
45.607099,59692,,BS2DCE,,5,ok,2052,2052,100,222,0
45.816732,59693,,BS2DCE,,0,ok,3060,3060,100,223,0
45.816732,59693,,BS2DCE,,2,ok,3029,3029,100,223,0
46.019758,59694,,BS2DCE,,0,ok,3014,3014,100,224,0
46.021872,59694,,BS2DCE,,2,ok,3012,3012,100,224,0
46.021872,59694,,BS2DCE,,5,ok,2603,2603,100,224,0
46.021872,59694,,BS2DCE,,7,ok,3726,3726,100,223,1
46.177196,59695,,BS2DCE,,0,ok,2898,2898,100,225,0
46.177196,59695,,BS2DCE,,2,ok,2978,2978,100,225,0
46.177196,59695,,BS2DCE,,5,ok,2337,2337,100,225,0
46.409516,59696,,BS2DCE,,0,ok,2857,2857,100,226,0
46.409516,59696,,BS2DCE,,2,ok,3097,3097,100,226,0
46.61188,59697,,BS2DCE,,0,ok,2530,2530,100,227,0
46.614286,59697,,BS2DCE,,2,ok,3103,3103,100,227,0
46.614286,59697,,BS2DCE,,5,ok,2259,2259,100,227,0
46.614286,59697,,BS2DCE,,7,ok,3459,3459,100,226,1
46.821942,59698,,BS2DCE,,0,ok,2501,2501,100,228,0
46.821942,59698,,BS2DCE,,2,ok,3128,3128,100,228,0
