experiment_id,seed_id,wall_time_s,status,backend,device
X_A1_U4_P0_L19_I5_T5,S02,2.26265439800045,ok,,
X_A1_U4_P0_L19_I6_T1,S02,0.06984218199795578,ok,,
X_A1_U4_P0_L19_I6_T2,S02,2.342790791997686,ok,,
X_A1_U4_P0_L19_I6_T3,S02,2.251499316000263,ok,,
X_A1_U4_P0_L19_I6_T4,S02,2.3341825359966606,ok,,
X_A1_U4_P0_L19_I6_T5,S02,1.3855074449966196,ok,,
X_A1_U4_P0_L19_I7_T1,S02,0.046461003003059886,ok,,
X_A1_U4_P0_L19_I7_T2,S02,1.3964105670020217,ok,,
X_A1_U4_P0_L19_I7_T3,S02,1.3841708920008386,ok,,
X_A1_U4_P0_L19_I7_T4,S02,2.2328361480031163,ok,,
X_A1_U4_P0_L19_I7_T5,S02,2.348535864999576,ok,,
X_A1_U4_P0_L19_I8_T1,S02,0.07101261799834901,ok,,
X_A1_U4_P0_L19_I8_T2,S02,2.263321035003173,ok,,
X_A1_U4_P0_L19_I8_T3,S02,2.2277209399981075,ok,,
X_A1_U4_P0_L19_I8_T4,S02,2.331163379996724,ok,,
X_A1_U4_P0_L19_I8_T5,S02,2.345063433996984,ok,,
X_A1_U4_P1_L19_I0_T1,S02,0.05267706199811073,ok,,
X_A1_U4_P1_L19_I0_T2,S02,1.373395946000528,ok,,
