event_id,node,mode,status,onset_s,end_s,state_classification,lock_release,max_position_excursion_m,max_velocity_mps,recovery_settling_s,false_persistent_platform_transition,post_event_shift_m,reinitializations
E009,BSF6C53,B0,INPUT_RESPONSE,614.0,616.0,,,0.257093853427,,,,,
E009,BSF6C53,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,49.0281919339,,,,
E009,BSF6C53,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.0496860366549,,,,
E009,BSF6C53,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF6C53,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF6C53,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF6C53,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.0178502030255,0.00126560152514,0.0,0,0.0227914892868,0
E009,BSF8BC4,B0,INPUT_RESPONSE,614.0,616.0,,,0.105579190422,,,,,
E009,BSF8BC4,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,58.2173379228,,,,
E009,BSF8BC4,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.0929043855554,,,,
E009,BSF8BC4,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF8BC4,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF8BC4,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF8BC4,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.000186739013612,9.82761817164e-07,0.0,0,0.0136675577308,0
E009,BSF1120,B0,INPUT_RESPONSE,614.0,616.0,,,0.131165687764,,,,,
E009,BSF1120,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,49.6685495823,,,,
E009,BSF1120,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.064478849905,,,,
E009,BSF1120,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF1120,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF1120,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF1120,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.000143683552428,5.10442117875e-06,0.0,0,0.029060940458,0
E009,BSF31CC,B0,INPUT_RESPONSE,614.0,616.0,,,0.263003017086,,,,,
E009,BSF31CC,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,37.0137216547,,,,
E009,BSF31CC,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.0152806798509,,,,
E009,BSF31CC,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF31CC,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF31CC,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF31CC,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.304679515557,1.24472451961,0.0,0,0.345905438043,0
E009,BSFAA61,B0,INPUT_RESPONSE,614.0,616.0,,,0.364567766411,,,,,
E009,BSFAA61,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,79.1553628959,,,,
E009,BSFAA61,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.0249059541992,,,,
