link_id,position_id,anchor_id,anchor_label,model,best_loglik,bic,mu_los,sigma,pi,lambda_or_equiv,n_inits_tried,adam_steps,lbfgs_steps,device
ID06_B,ID06,1,B,M1,-5465.896050875618,10960.15240909434,1996.993597484334,22.39427963690113,0.01933320859541239,36.34653913934319,100,500,200,cuda:0
ID06_C,ID06,2,C,M1,-5610.572486803378,11249.50528094986,2238.961666052818,25.95952419458065,0.0,2.000001014374282,100,500,200,cuda:0
ID06_D,ID06,3,D,M1,-5692.223428984729,11412.807165312563,2868.5601607563476,27.51638812518636,0.004703188103904453,60.295171743958896,100,500,200,cuda:0
ID06_E,ID06,4,E,M1,-5650.096934451894,11328.554176246893,2492.3407467731136,26.824516577713595,0.00020129096898030113,57.48276253890274,100,500,200,cuda:0
ID06_F,ID06,5,F,M1,-6046.1815537700395,12120.70336471589,1371.4121095471864,30.40732228876488,0.05548418764831075,207.32686697504178,100,500,200,cuda:0
ID06_G,ID06,6,G,M1,-5694.759726181308,11417.71647172764,1552.1511208423701,26.424982711363477,0.046246131765792425,394.75976882076964,100,500,200,cuda:0
ID06_H,ID06,7,H,M1,-5704.678178609695,11437.635853733225,2467.738334900461,28.42086467006428,0.03567914764912332,77.9771875166203,100,500,200,cuda:0
ID07_A,ID07,0,A,M1,-5578.430699605419,11185.225038499158,2365.4104913792216,25.175796958569986,6.133969829266912e-113,13.837761702828935,100,500,200,cuda:0
ID07_B,ID07,1,B,M1,-5788.937158441719,11606.22461170567,1996.9628309965879,29.702750530796575,0.01730027890412834,43.83257368561688,100,500,200,cuda:0
ID07_C,ID07,2,C,M1,-5522.532783247016,11073.425873837135,1284.313107887013,23.929346092740435,0.0015264701737997509,111.25073028765858,100,500,200,cuda:0
ID07_D,ID07,3,D,M1,-5189.346462733645,10407.0498980874,1806.3648733386658,18.0592811866354,0.002462360055083926,141.0569576491926,100,500,200,cuda:0
ID07_E,ID07,4,E,M1,-5397.705917858549,10823.775475005417,2954.8526833752344,21.06492450942448,0.02005573604507529,35.435168472409565,100,500,200,cuda:0
ID07_F,ID07,5,F,M1,-7059.807797297677,14147.952500283745,2526.5786862046234,82.08716714007552,0.049109185050359806,155.0992641896847,100,500,200,cuda:0
