s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.93,20.0,80.0,204.3300323486328,198.95049831867726,300.3021162039563
0.93,20.0,85.0,196.74105834960938,192.16537474269396,288.1413451360354
0.93,20.0,90.0,189.22161865234375,185.47010582907964,276.04114657741815
0.93,20.0,95.0,180.95767211914062,178.8687815568301,264.0028979695354
0.93,20.0,100.0,172.25082397460938,172.36622416928148,252.02831184647334
0.93,20.0,105.0,163.5851593017578,165.96801155456131,240.11889326276082
0.93,20.0,110.0,154.96432495117188,159.6805221078169,228.2764746635507
0.93,20.0,115.0,146.392822265625,153.5110248992723,216.5027690431435
0.93,20.0,120.0,137.8748779296875,147.4677599829027,204.79948574602508
0.93,20.0,125.0,129.4156494140625,141.5602441873247,193.16865639151285
0.93,20.0,130.0,121.02085876464844,135.79898114952852,181.61193115621228
0.93,20.0,135.0,112.6966552734375,130.19614859655027,170.13140130182765
0.93,20.0,140.0,104.45057678222656,124.76522092138698,158.72875910842728
0.93,30.0,0.0,318.75738525390625,302.4448296797285,476.3854077027827
0.93,30.0,5.0,310.0285339355469,294.51407277496946,463.45808344582036
0.93,30.0,10.0,301.44293212890625,286.6748076000052,450.58519513204874
0.93,30.0,15.0,292.9951171875,278.92333456077137,437.76622262357597
0.93,30.0,20.0,284.6799011230469,271.25655234021536,425.0007143861668
0.93,30.0,25.0,276.42138671875,263.67186342592566,412.28836406606104
0.93,30.0,30.0,267.6397705078125,256.16724273411694,399.6290434835869
0.93,30.0,35.0,259.4311828613281,248.74118231858995,387.0226732836
0.93,30.0,40.0,251.34408569335938,241.39284145610034,374.4695928258324
0.93,30.0,45.0,243.329833984375,234.1218049034519,361.9701523763656
0.93,30.0,50.0,235.38772583007812,226.92823927675903,349.52489677735235
0.93,30.0,55.0,227.517333984375,219.81284653086135,337.13453912310825
0.93,30.0,60.0,219.71783447265625,212.77681418859999,324.79992429257913
0.93,30.0,65.0,211.98886108398438,205.82195165057104,312.5221073342047
0.93,30.0,70.0,204.33004760742188,198.95049831867726,300.30212631117695
0.93,30.0,75.0,196.74099731445312,192.16539507023631,288.1413571264007
0.93,30.0,80.0,189.2215576171875,185.47009529840653,276.04108422255075
0.93,30.0,85.0,180.95767211914062,178.86879793580545,264.00293060403646
0.93,30.0,90.0,172.25088500976562,172.3662355005324,252.02828856046307
0.93,30.0,95.0,163.58514404296875,165.96801743860172,240.11891581963232
0.93,30.0,100.0,154.96434020996094,159.68050987636218,228.27646415622792
0.93,30.0,105.0,146.39276123046875,153.5109867301849,216.5026977751119
0.93,30.0,110.0,137.87493896484375,147.46777322732245,204.79951357543067
