position_id,error_3d_mm,d_tag_train_mm,range_method,e_setting,layout_label
ID13,39.34885526041653,23.59890203468848,p10,E2_e_zero,p10__E2_e_zero
ID14,62.80215758371455,23.59890203468848,p10,E2_e_zero,p10__E2_e_zero
ID15,29.622154537451728,23.59890203468848,p10,E2_e_zero,p10__E2_e_zero
ID16,45.0867037126128,23.64095138973215,p10,E2_e_zero,p10__E2_e_zero
ID17,103.6280941635067,23.840155455655747,p10,E2_e_zero,p10__E2_e_zero
ID18,33.05360544408803,23.798106100612074,p10,E2_e_zero,p10__E2_e_zero
ID19,39.77721421192608,23.840155455655747,p10,E2_e_zero,p10__E2_e_zero
ID20,37.14737268097083,23.840155455655747,p10,E2_e_zero,p10__E2_e_zero
ID21,24.156148878893404,23.738118540821063,p10,E2_e_zero,p10__E2_e_zero
ID22,21.410724413945378,23.738118540821063,p10,E2_e_zero,p10__E2_e_zero
ID23,45.01286136892482,23.738118540821063,p10,E2_e_zero,p10__E2_e_zero
ID24,30.638534995416283,23.59890203468848,p10,E2_e_zero,p10__E2_e_zero
ID01,156.83177197734418,31.444925351138274,lower_trim_5,E0_e_reg20,lower_trim_5__E0_e_reg20
